Username,ID,SurveyDate,Level,Wins,Title,Effect,Pet,Death,GearEquipped,VIP
sowonghost,2663198726,2024/09/27,79,6290,n,bearface,White Divergent,Banana Dog,Shatter,"Laser Finger Pointers | Neon Laser Launcher | Frosted Santa | Frying Pan | Alpaca Plushie | Dance Potion | Compass | Carnagecopia | Eggshot | Egg Locater | Otherworldly Sceptre | Ink Launcher | Megagavel | Bighead Potion | Exploding Heart | Saxophone | Epicsauce | Cake | Dragon Plushie | Vine Staff | Tambourine | Crab Horde | Chick Horde | Big Flower | Tennis Racket | Skele-tar | Shark Launcher | Hedgehog Friend | Stop Hitting Yourself | Director's Clapboard | Chicken Gun | Shuriken | Bugle | Slurpee | Ticket Launcher | Whoopee Cushion | Item of Sentiment | Lightblox Jar | Witches Brew | RedBLOX | Police Badge | Basketball | Foam Finger | Robo Companion | Ultra-Flat Spray Paint | Noob Pop | EPIC Stamper | Ice Cream | TOMATOES! | Didgeridoo | Rolling Pin | Noise Maker | Squid Launcher | Confetti Cannon | Face Off Potion | Speech Bubble | Pizza | Chimp Friend | Sparkler | Taco | Protest Sign: Eggs are for eating | Science Project: Volcano | Egg Hammer | Magical Umbrella | Eggstaff | Noob Hot Chocolate | Pest Hammer | Slushie | Paint Grenade | Science Project: Potato | Earth Horn | Cymbals | Killer Whale Launcher | Double Cheezburger | Fortune Telling Eight Ball | Inflatable Saxophone | Big Stick | Piggybank | Cherry Pie | Staff of the Woodlands | Giant Ninja Star | Teddy Bloxpin | Ancient Firecracker | Flower Crossbow | Metal Guitar | Red Balloon | The Fiery Sun | Wooden Sword | Drone | R-80 | Chocolate Bunny | Bloxilicious Bubble Gum | Flute | Protest Sign: Noobs | Goblet | Flower Feet | Jingle Bells | BANG! | Rainbow Fireworks"
Akazapubg,696811451,2024/05/24,79,6289,n,,,,,"Otherworldly Sceptre | Science Project: Volcano | Stop Hitting Yourself | Confetti Cannon | The Celebrator | Nunchucks | Slush Cannon | Staff of Neverending Frost | Earth Horn | Party Horn"
katia242,121799191,2024/05/15,79,6286,n,Demigod,Snow Trail,,Vanish,"Otherworldly Sceptre | Vine Staff"
wethhinktoomuchh,104502573,2024/12/28,79,6285,n,Artist,Black sparkles,Dr. Ishmael,Ghost,"Dragonshead Cannon | Winter Snowfall | Bauble Detector | Fake C4 | April Showers | Halloween Sparkler | Staff of the Woodlands | Beach Staff"
cqerla,174966607,2024/12/11,79,6284,n,Snowman Title,Easter Aura,Little Monkey,Drop Stars,"Dragonshead Cannon | Fake C4 | April Showers | Alpaca Plushie | Item of Sentiment | Selfie Stick | Magical Umbrella | Stop Hitting Yourself"
x_hal3,504012624,2025/01/29,79,6281,y,Nametag,,Threatening Goose,Abduct,"Dragonshead Cannon | Fake C4 | Moneybag | Chicken Gun | Ticket Launcher | Ultra-Flat Spray Paint | Stop Hitting Yourself | Item of Sentiment"
umetshyguy,282235648,2024/10/11,79,6278,y,MURICAN,,,Comic Thwack,"Pinata Bat | R-80 | Megagavel | Green Epicsauce"
euphxric_vibes,1375699395,2024/09/15,79,6277,n,uhhactually,Autumn Ritual,Little Monkey,Comic Thwack,"Selfie Stick | Egg Hammer | Pest Hammer"
mundialupro,997064600,2025/02/12,79,6276,y,11th Seasoneer,Cosmic Trail,Epic Balloon,Comic Thwack,""
CxshChanel,117757250,2024/07/24,79,6274,n,Cute,Mystic Cloud,Star Buddy,Drop Robux,"Laser Finger Pointers | Chicken Gun | Throwing Barrel | Powerful Paintbrush | Metal Detector | Epic Popper | Pumpkin Gun | Dragonshead Cannon | Cymbals | Sea Sorcerer Staff | Starfish | Staff of the Woodlands | Stop Hitting Yourself | Party Horn | The Celebrator | The Fiery Sun | Torch | Selfie Stick | Mega Mallet | Pom-Poms | Item of Sentiment | Rainbow Fireworks"
AliceKitty35,238060025,2025/01/19,79,6274,y,INSOMNIAC,Crow Feathers,Crow,Zero Gravity Ragdoll,"Winsome Wizard Wand | Baseball Bat | Neon Laser Launcher | Frosted Santa | Super Slash Cat Claws | Carnagecopia | Bacon Frying Pan | Hedgehog Friend | Otherworldly Sceptre | Epic Popper | Chocolate Milk | Saxophone | Yellow Snowball | Dragon Plushie | Bongos | Pumpkin Bucket | Blueberry Pie | Ham Bone | Flowersplosian | Bundle of TNT | Chick Horde | Big Flower | Green Balloon | Ghost Bag | Slush Cannon | Frisbee | Beach Staff | RedBLOX | Basketball | Misfortune Cookie | Foam Finger | Beehive | TOMATOES! | 8-Bit Ninja Stars | Squid Launcher | Tom's Beans | Bauble Detector | Frost Potion | Beach Ball | Yellow Card | Egg Hammer | Torch | Pirate Juice | Megaphone | Pest Hammer | Starblox Latte | Paint Grenade | Fortune Telling Eight Ball | Bouquet of Pain Throwing Stars | Big Stick | Piggybank | Smore | Marshmallow Chirp | Bloxiade | Ceramic Potion | Rolling Pin | The Fiery Sun | Green Epicsauce | 2019 Fireworks | Soul Lantern | Ticket Launcher | Jingle Bells | Touchdown Football | Christmas Tree Topper | Snowball | Banana Peel | Spider Flinger | Disguise Watch | Icicle Cannon | Frying Pan | Shark Launcher | The Christmas Creep | Brighteyes's Sparkling Shillelagh | Throwing Spork | Egg Locater | Protest: More Gear Nao | Ink Launcher | Victrola | Shrunken Head | Caltrops | A Very Special Monster | Chicken Gun | Balloon Sword | Rainbow Fireworks | Director's Clapboard | Santa | Staff of Neverending Frost | Tambourine | Snowman Gun | Protest Sign: Pro Fake Mustache | Red Foam Finger | Roman Candle | Tennis Racket | War Rocks | Latke | Earth's Might Staff | Red Stratobloxxer | Ra'k Guitar | Punk Wrist Cuff | Starfish | Winter Snowfall | Bacon Launcher | Protest Sign: Save the Noobs | Slurpee | Skele-tar | Starfish Shuriken | Breath of Ice | Teddy Bloxpin | Halloween Sparkler | Bloxilicious Bubble Gum | Police Badge | Ghost Potion | Beast Claws | Face Off Potion | Red Balloon | Christmas Cookie | Kunai | Robo Companion | Noob Pop | Haunted Pizza | Goblet | Inflatable Saxophone | Whoopee Cushion | Ancient Firecracker | Pumpkin Gun | Snowball Cannon | Witches Brew | AFK Sign | Chimp Friend | Metal Detector | Taco | Electric Blue | Cowbell | Sparkler | Magical Umbrella | Bloxxy Radar | Bonk Bat | Geolocator | Pirate Hook | Science Project: Volcano | Bauble Staff | Chocolate Bunny | Cymbals | Rock It Guitar | Hot Chocolate | Neon Throwing Stars | EPIC Stamper | Compass | Bandit Dog | Cherry Pie | Hot Dog | Giant Ninja Star | Guitarmy | Retro Candy | Flower Crossbow | Roblox Snowglobe | Speech Bubble | Present Basket | Annoying Elf | Selfie Stick | Spook Launcher | R-80 | Shuriken | Bighead Potion | Watermelon | Snowball Launcher | Jack Frost | Mariachi Guitar | Pom-Poms | BANG! | Item of Sentiment | Spell Book of Ice Cold Revenge"
W0urth,2864533429,2024/10/26,79,6273,y,NIGHTMARE,,Paper Poltergeist,Halrog of Prey,"Megagavel | Soul Lantern | Torch | Pumpkin Gun | Mega Mallet"
Basokaruto02,1102181047,2025/02/19,79,6271,y,DJ,Vampiric Epic faces,Pink Possum,Cupid's Arrow,"Stop Hitting Yourself | Gravity Gun | Snowman Gun | Tee Shirt Cannon | Pumpkin Gun | Staff of the Woodlands | Kittypult | Mega Mallet | Noob Pop | Item of Sentiment"
ZXDXYX,130838939,2024/05/11,79,6268,n,Friendly,,,Curse,"Bloxilicious Bubble Gum | Laser Finger Pointers | Fake C4 | April Showers | Chocolate Bunny | Frosted Santa | Marching Drum | Item of Sentiment | Egg Hammer | Lightblox Jar | Torch | BANG! | Egg Locater | Monster Mash | Basketball | Dragonshead Cannon | Magical Umbrella | Sparkler | Panda Friend | Slingshot | Exploding Heart | Moonwalk Potion | Green Epicsauce | Flower Feet | Saxophone | Bloxxy Radar | Stop Hitting Yourself | Ultra-Flat Spray Paint | Cymbals | Wooden Sword | Eggstaff | Killer Whale Launcher | Inflatable Saxophone | Clown Bomb | Silly Guitar | Confetti Cannon | Fortune Telling Eight Ball | Giant Ninja Star | Teddy Bloxpin | Cowbell | Chick Horde | Metal Guitar | Rolling Pin | Tambourine | Spooky Guitar | Drone | Red Stratobloxxer | R-80 | Staff of the Woodlands | Bunch of Balloons | Flute | Bugle | Disguise Watch | Spinning Robot Helmet | Jingle Bells | Tiger Warrior Club | Didgeridoo | Rainbow Fireworks"
twmeli,2896806598,2025/02/20,79,6264,y,,Glitch,Arctic Wolf,Shark Attack,"Otherworldly Sceptre | Snowman Gun | Speech Bubble | Squid Launcher | Megaphone | Noob Pop | Earth Horn"
Shinsolol,1971519899,2024/12/16,79,6263,n,,Center of the Universe,,The Claw,"Snowball Cannon | Megagavel | Ghost Bag"
hwostiIe,2473777172,2024/11/14,79,6263,y,,Floating Flower,Hammy the Hamster,Disco,"Banana Peel | Item of Sentiment | Ink Launcher | Megagavel | Yellow Snowball | Hand Cannon | Mega Mallet | Protest Sign: Pro Fake Mustache | Pest Hammer | Roboarm | Selfie Stick | Soul Lantern"
AnonymousDimSums,1306304694,2024/06/21,79,6262,y,Hallowed,Blackhole,Blue Slime,Disco,"Stop Hitting Yourself | Chicken Gun | Korblox Deathspeaker's Spell Book | Drone | Moneybag | Ink Launcher | The Fiery Sun"
Annahikaty1,417286162,2025/02/13,79,6260,n,skulls,Watchful Eye,Green Soul,Drop Stars,"Valentine’s Throwing Stars | Metal Guitar | Otherworldly Sceptre | R-80 | Science Project: Potato | Clown Bomb | Bacon Launcher | Pest Hammer | Saxophone | Bacon Frying Pan"
enviisara,192375146,2024/10/03,79,6260,y,,Jack O' Trio,Green Soul,Gravestone,"Panda Friend | Alpaca Plushie | Monster Friend | Pumpkin Gun | Haunted Pizza | Pumpkin Bucket | Halloween Sparkler | A Very Special Monster | Ghost Bag | Skeleton Foam Finger"
Sonicrun33,648874948,2024/08/03,79,6260,n,VANQUISHER,Mystic Cloud,Lil Obsy,Rocket Head,"Stop Hitting Yourself | Laser Finger Pointers | Pinata Bat | April Showers | Disguise Watch | EPIC Stamper | Powerful Paintbrush | Big Flower | Egg Locater | Drone | Otherworldly Sceptre | Ancient Firecracker | Beach Staff | The Fiery Sun | Spray Paint | Neon Laser Launcher | Pest Hammer | Paint Grenade"
darieljorel246,4479648217,2025/02/01,79,6259,n,,,,,""
sk8ter9310,7340332,2025/01/05,79,6259,n,Awake,Purple flame,Purple Tired Tortoise,Lightning,"Snowball Cannon | Jack Frost | Dragonshead Cannon | Inflatable Saxophone | Seranok's Golden Chalice of Fame | Rainbow Fireworks"
fooIah,309891222,2024/12/01,79,6257,n,.,,Ricky,Lovely Explosion,"Beach Staff | Spider Flinger | Alpaca Plushie | Item of Sentiment | Squid Launcher | Monster Friend | Chameleon Potion | Megagavel | Exploding Heart | Science Project: Potato | Eggstaff | Killer Whale Launcher | Halloween Sparkler | Boba Tea | Love Hurts Ray Gun | Santa | Winter Snowfall | Confetti Cannon | Stardust Mooncaster | Magical Umbrella | Soul Lantern | Protest Sign: Noobs | Disguise Watch | Dragon Plushie | A Very Special Monster | Double Cheezburger"
recordskip,469593991,2024/12/01,79,6256,y,,,,Ascend,"Stop Hitting Yourself | Ultra-Flat Spray Paint | Torch | Chocolate Bunny | Soul Lantern | Silly Guitar | Exploding Heart | Item of Sentiment"
Vixulii,1181849077,2024/12/30,79,6256,y,Idol,Shine,8-Bit Fairy,Zero Gravity Ragdoll,"Stop Hitting Yourself | Snowball Cannon | Gravity Gun | Big Flower | Otherworldly Sceptre | Bauble Detector | Pest Hammer | Science Project: Volcano"
chunkeio,1234853636,2024/12/30,79,6255,n,,,,,"Laser Finger Pointers | Panda Friend | Haunted Pizza | Disguise Watch | Dance Potion | Item of Sentiment | The Christmas Creep | Monster Friend | Throwing Spork | Slingshot | Chocolate Milk | Saxophone | Epicsauce | A Very Special Monster | Waffle | Clown Bomb | Halloween Sparkler | Tambourine | Space Sandwich | Santa | Big Flower | Moonwalk Potion | Ghost Bag | Bunch of Balloons | Whoopee Cushion | Cursed Mummy Friend | Lightblox Jar | RedBLOX | Basketball | Fake C4 | April Showers | Throwing Barrel | Ice Cream | TOMATOES! | Marching Drum | Skeleton Foam Finger | Frost Potion | Chimp Friend | Chameleon Potion | Sparkler | Magical Umbrella | Pirate Juice | Staff of the Woodlands | Dragonshead Cannon | Cymbals | Misfortune Cookie | Fire Extinguisher | Fortune Telling Eight Ball | Monster Mash | Big Stick | Silly Guitar | Cherry Pie | Pumpkin Bucket | Frosty the Snowfriend | Teddy Bloxpin | Zombie Protest Sign | Noise Maker | Roblox Snowglobe | Rolling Pin | Stop Hitting Yourself | Green Epicsauce | Ultra-Flat Spray Paint | Didgeridoo | R-80 | Hot Dog | Moneybag | Flute | Bugle | Ancient Firecracker | Metal Guitar | Jingle Bells | BANG! | Protest Sign: Eggs are for eating | Noob Pop"
Lexieann622,95848243,2025/02/10,79,6255,n,Stranger,Shadow Feet,Arctic Wolf,Comic Thwack,"Annoying Elf | Chicken Gun | Alpaca Plushie | The Midas Glove | Item of Sentiment | Bandit Dog | Protest: More Gear Nao | Flower Feet | Ice Staff | Breath of Ice | Cake | Snowman Gun | Staff of Neverending Frost | RoVacuum | Heart Balloon | RedBLOX | Foam Finger | Tom's Beans | Bauble Detector | Chameleon Potion | Banjo | Magical Umbrella | Smashing Drum | Pest Hammer | Frosted Santa | Paint Grenade | Staff of the Woodlands | Monster Mash | Cymbals | Inflatable Saxophone | Silly Guitar | Helen The Hiphipapotamus | Giant Ninja Star | Ultra-Flat Spray Paint | Snowball Launcher | Moonwalk Potion | Selfie Stick | R-80 | Latke | Flute | Protest Sign: Noobs | Discus | Ra'k Guitar"
chxck3rs,575673205,2024/10/13,79,6254,n,,,Fluffy Unicorn,Disco,"Piggybank | Staff of the Woodlands"
passedtheaux,2581095574,2025/02/14,79,6252,n,,,,Drop Robux,"Stop Hitting Yourself | Monster Mash | Touchdown Football | Shark Launcher | Green Epicsauce | Metal Guitar | Bighead Potion | Megagavel"
Ohsomnia,120683249,2025/01/17,79,6251,y,Bright,Zzzz,,Ascend,"Silly Guitar | Skeleton Foam Finger | Moneybag | Megagavel | Clown Gun | Squid Launcher | Green Epicsauce | Staff of the Woodlands"
kebien99,165773297,2024/05/11,79,6247,n,Imbecile,White Divergent,Cat,Mined,"Stop Hitting Yourself | Ghost Bag | Marching Drum | Staff of the Woodlands | Pinata Bat | Skeleton Foam Finger | Teddy Bloxpin | Metal Guitar"
G0NEGlRL,2943733813,2025/02/10,79,6246,y,Sweetheart,Floating Flower,Dazzling Heart,Big Bunny,"Winsome Wizard Wand | Neon Laser Launcher | Panda Friend | Spider Flinger | Chicken Gun | Icicle Cannon | Super Slash Cat Claws | Alpaca Plushie | Shark Launcher | Carnagecopia | Brighteyes's Sparkling Shillelagh | Bandit Dog | Otherworldly Sceptre | Ink Launcher | Sign: This Is NOT Epic | Megagavel | Exploding Heart | Stop Hitting Yourself | Breath of Fire | Director's Clapboard | Staff of Neverending Frost | Tambourine | Valentine’s Throwing Stars | Snowman Gun | Chick Horde | Big Flower | Christmas Tree Launcher | Frosted Santa | Earth's Might Staff | Red Stratobloxxer | Victrola | Flute | Soul Lantern | Basketball | Mega Mallet | Spray Paint | Meteor Staff | Didgeridoo | Lucky Harp | Bloxilicious Bubble Gum | Police Badge | Fake C4 | April Showers | Green Epicsauce | Science Project: Volcano | The Fiery Sun | Speech Bubble | EPIC Stamper | Noob Pop | Metal Guitar | Powerful Paintbrush | Squid Launcher | Dozens of Dinosaurs | Beach Ball | Magical Umbrella | Jack Frost | Protest Sign: Save the Noobs | Smashing Drum | Bonk Bat | Fortune Telling Eight Ball | Paint Grenade | Science Project: Potato | Bouquet of Pain Throwing Stars | Cymbals | Skele-tar | Korblox Mage Staff | Inflatable Saxophone | Killer Whale Launcher | Earth Horn | Pumpkin Gun | Giant Ninja Star | Staff of the Woodlands | Flower Crossbow | Rolling Pin | Winter Snowfall | Flower Feet | Selfie Stick | Game Studio Executive Briefcase | R-80 | Lightblox Jar | Punk Wrist Cuff | Ticket Launcher | Protest Sign: Noobs | Ghost Potion | Pom-Poms | Spell Book of Ice Cold Revenge"
beautifuIthuggergirI,467798393,2024/05/15,79,6244,n,Hopper,,Mini Easter Bunny,Pause,"Stop Hitting Yourself | Bugle | Cymbals | Double Cheezburger | Moneybag | Disguise Watch | Bug Net | Egg Hammer | Egg Locater | Foam Finger | Big Flower"
legallyaprincess,161161444,2024/10/17,79,6244,y,Kawaii,,Sparkles the Flying Unicorn,The Claw,"Baseball Bat | Neon Laser Launcher | Panda Friend | Chicken Gun | Frying Pan | Dance Potion | Steampunk Zapper | Bacon Frying Pan | Bandit Dog | Otherworldly Sceptre | Ink Launcher | Noise Maker | Saxophone | Stop Hitting Yourself | Dragon Plushie | Sea Sorcerer Staff | Starfish | Ham Bone | Flowersplosian | Tambourine | Chick Horde | Big Flower | Tennis Racket | Moonwalk Potion | Ghost Bag | Shuriken | Kunai | Ra'k Guitar | Heart Balloon | Whoopee Cushion | Tiger Warrior Club | Didgeridoo | Beach Staff | RedBLOX | Basketball | The Celebrator | Bighead Potion | Robo Companion | Throwing Bolts | Ticket Launcher | Noob Pop | TOMATOES! | Beach Ball | Skeleton Foam Finger | Powerful Paintbrush | Squid Launcher | Frost Potion | Chimp Friend | R-80 | Electric Blue | Green Epicsauce | War Rocks | Red Balloon | Anubis Staff | Pest Hammer | Magic Dragon | Science Project: Volcano | Science Project: Potato | Cymbals | Fortune Telling Eight Ball | Killer Whale Launcher | Skele-tar | Big Stick | Teddy Bloxpin | Cherry Pie | Marshmallow Chirp | Giant Ninja Star | Inflatable Saxophone | Flower Crossbow | Metal Guitar | Rolling Pin | The Fiery Sun | Magical Umbrella | Selfie Stick | Nunchucks | Mega Mallet | Police Badge | Flute | Protest Sign: Noobs | Director's Clapboard | Shark Launcher | Pom-Poms | BANG! | Touchdown Football | Rainbow Fireworks"
CloudyNina1423,168950374,2024/09/07,79,6244,n,,Dark Sprite,Herbert T. Shark,Comic Thwack,"Neon Laser Launcher | Panda Friend | Disguise Watch | Apple Pie | Dance Potion | Item of Sentiment | Epic Popper | Saxophone | Cake | Waffle | Space Sandwich | Santa | Lightblox Jar | Police Badge | Fake C4 | April Showers | TOMATOES! | Chimp Friend | Metal Detector | Pumpkin Gun | Hedgehog Friend | Paint Grenade | Science Project: Potato | Pinata Bat | Double Cheezburger | Goblet | Silly Guitar | Smore | Marshmallow Chirp | Frosty the Snowfriend | Noob Pop | Flute | Metal Guitar | Bloxxy Radar | Hot Chocolate | Latke | Party Horn | Cherry Pie | Ra'k Guitar | Bighead Potion"
Cooqitoo,2020214110,2024/04/08,79,6244,y,,,Dazzling Heart,Mined,"Alpaca Plushie | Epic Popper | Big Pink Daisy | Vine Staff | Christmas Tree Launcher | Egg Hammer | Starfish | Staff of the Woodlands | Love Hurts Ray Gun"
michiiqxo,1045769153,2024/08/03,79,6240,y,,,,Abduct,"Halloween Sparkler | Basketball | Stop Hitting Yourself | Staff of the Woodlands | Disguise Watch"
Iuvso,1052968891,2024/11/12,79,6237,y,Tireless,Popping Bubbles,Dazzling Heart,Comic Thwack,"Disguise Watch | Red Stratobloxxer | Ice Cream | Chimp Friend | Big Stick | Stop Hitting Yourself | Selfie Stick | Metal Guitar | Mega Mallet | Ultra-Flat Spray Paint"
DelaneyVI,189925811,2025/01/01,79,6237,y,Nametag,,,The Claw,"Epicsauce | Bauble Detector | Monster Mash | Stop Hitting Yourself"
goku12331413,1009155686,2025/01/04,79,6236,n,.,Red sparkles,Red Soul,Explode,"Stop Hitting Yourself | Clown Gun | Pumpkin Gun | Pest Hammer | Disguise Watch | Soul Lantern"
Pakoured,1035892577,2024/12/14,79,6235,y,Malignant,,Flying Devil,Lovely Explosion,"Baseball Bat | Annoying Elf | Panda Friend | Chicken Gun | Steampunk Zapper | Carnagecopia | Otherworldly Sceptre | Exploding Heart | Epic Popper | Chocolate Milk | Rock It Guitar | Dragon Plushie | Vine Staff | Santa | Big Flower | Shuriken | Hand Cannon | Heart Balloon | Cursed Mummy Friend | Beach Staff | RedBLOX | Protest Sign: Pro Fake Mustache | Misfortune Cookie | Instant Campfire | TOMATOES! | Squid Launcher | Beach Ball | Red Foam Finger | Egg Hammer | Protest Sign: Save the Noobs | Bacon Launcher | Pest Hammer | Slushie | Paint Grenade | Skele-tar | Piggybank | Protest Sign: Eggs are for eating | Love Hurts Ray Gun | Frosty the Snowfriend | Metal Guitar | Rolling Pin | The Fiery Sun | Shade Potion | Mega Mallet | Soul Lantern | Ticket Launcher | Jingle Bells | Banana Peel | Spider Flinger | Disguise Watch | Frying Pan | Decoy Deploy | Dance Potion | Shark Launcher | The Christmas Creep | Ink Launcher | Sign: This Is NOT Epic | Megagavel | Victrola | Stop Hitting Yourself | Cake | Director's Clapboard | Staff of Neverending Frost | Goblet | Crab Horde | The Celebrator | Whoopee Cushion | Lucky Harp | Robo Companion | Silly Guitar | Monster Mash | Item of Sentiment | Eggshot | Compass | Red Pirate Juice | Ghost Potion | Sign: This Is Epic | Chimp Friend | Protest Sign: Noobs | Saxophone | Metal Detector | Tennis Racket | Staff of the Woodlands | Magical Umbrella | Eggstaff | Bonk Bat | Clown Gun | Party Horn | Science Project: Volcano | Science Project: Potato | Tambourine | Cymbals | Pinata Bat | Hot Chocolate | Killer Whale Launcher | Pumpkin Staff | Chick Horde | EPIC Stamper | Helen The Hiphipapotamus | Basketball | Teddy Bloxpin | Flower Crossbow | Roblox Snowglobe | Speech Bubble | Neon Throwing Stars | AFK Sign | Spook Launcher | R-80 | Dragonshead Cannon | Flute | Bugle | Pumpkin Gun | Epiczza | Pom-Poms | Rainbow Fireworks"
hxjjdghsnvvdz,1337414313,2025/01/04,79,6233,n,.,,,Lightning,"Laser Finger Pointers | Annoying Elf | Panda Friend | Disguise Watch | Item of Sentiment | Otherworldly Sceptre | Ink Launcher | Chocolate Milk | Saxophone | Stop Hitting Yourself | Clown Bomb | Starfish | Staff of Neverending Frost | Goblet | Santa | Big Flower | Christmas Tree Launcher | Moonwalk Potion | Slush Cannon | Didgeridoo | RedBLOX | Fake C4 | April Showers | Foam Finger | Neon Laser Launcher | Lightblox Jar | Tiger Warrior Club | Chick Horde | Squid Launcher | Snowball Launcher | Chimp Friend | Hot Dog | Magical Umbrella | Pirate Juice | Pest Hammer | Starblox Latte | Paint Grenade | Science Project: Potato | Slushie | Cymbals | Bugle | Party Horn | Killer Whale Launcher | Fortune Telling Eight Ball | Flower Feet | Staff of the Woodlands | Cherry Pie | Marshmallow Chirp | Frosty the Snowfriend | Teddy Bloxpin | R-80 | The Fiery Sun | Wooden Sword | Selfie Stick | Jack Frost | Torch | Flute | Protest Sign: Noobs | Noise Maker | BANG! | Ra'k Guitar | Frosted Santa"
hobisprite7,1760272517,2024/11/19,79,6233,y,bearface,,Kawaii Cat,Bird of Prey,"Helen The Hiphipapotamus"
aliana360,114070233,2024/07/06,79,6233,y,,Confetti,,,"Throwing Barrel | Clown Gun | Otherworldly Sceptre"
MaxThePanther011,927661708,2024/12/26,79,6232,n,Musician,Sprinkling Snowflakes,Gingerbread Pal,The Claw,"Beach Staff | Hedgehog Friend | Snowball Cannon | Bauble Detector | Stop Hitting Yourself | AFK Sign"
mntxvs,1221215993,2025/01/18,79,6231,y,Missionary,Black flame,Brilliant Crown,Curse,"Green Epicsauce"
MenesesJossi,1217578149,2025/02/11,79,6231,n,.,Red sparkles,Red Soul,Ascend,"The Midas Glove | Carnagecopia | Brighteyes's Sparkling Shillelagh | Roman Candle | Otherworldly Sceptre | Starfish | Staff of Neverending Frost | Big Flower | Seranok's Golden Chalice of Fame | Bloxxy Radar | Banjo | Chameleon Potion | Metal Detector | Science Project: Volcano | Science Project: Potato | Staff of the Woodlands | Beast Claws | Sparkler | Soul Lantern | Protest Sign: Noobs | Snowman Gun"
