Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped
41kl1zs,798698907,2024/10/26,47,2204,n,Demigod,White sparkles,,Pause,"Basketball | Misfortune Cookie | Snowball | Chocolate Bunny | Disguise Watch | Frying Pan | Shade Potion | Tom's Beans | Egg Locater | Frost Potion | Otherworldly Sceptre | Neon Laser Launcher | Starblox Latte | Metal Detector | Staff of the Woodlands | Sparkler | Hot Dog | Epic Popper | Slushie | Chocolate Milk | Rock It Guitar | Paint Grenade | Epicsauce | Bandit Dog | Magical Umbrella | Pinata Bat | Eggstaff | Tambourine | Bloxiade | Soul Lantern | Ancient Firecracker | Protest Sign: Eggs are for eating | Face Off Potion | Goblet | Teddy Bloxpin | Speech Bubble | Ultra-Flat Spray Paint | Big Flower | Red Balloon | The Fiery Sun | Metal Guitar | Confetti Cannon | Red Stratobloxxer | R-80 | Green Epicsauce | Bunch of Balloons | Ticket Launcher | Bugle | Foam Finger | Spinning Robot Helmet | Pom-Poms | Pest Hammer | Police Badge | Didgeridoo"
JeffyCai17,1527008195,2025/01/04,47,2203,n,Atomic,Hammers,Threatening Goose,Brick,"Fake C4 | Otherworldly Sceptre | Torch | Staff of the Woodlands | Fortune Telling Eight Ball | Science Project: Volcano | Big Flower | R-80 | Frosty the Snowfriend"
crazymomo6,675972090,2024/07/20,47,2203,y,INSOMNIAC,,Green Dragon,,"April Showers | Disguise Watch | Otherworldly Sceptre | Ink Launcher | Flower Feet | Pest Hammer | Staff of the Woodlands | Epicsauce | Dragonshead Cannon | Spray Paint | Clown Bomb | Tennis Racket | Big Flower | Fake C4 | Drone | R-80 | Ticket Launcher | Stop Hitting Yourself"
289kos,659493948,2025/01/03,47,2203,n,Cozy,Sprinkling Snowflakes,,Pop,"Bauble Detector | Otherworldly Sceptre | Snowball Cannon"
Dusty711yoshi,169250186,2024/10/23,47,2203,n,,,,Comic Thwack,"Staff of the Woodlands"
SavageNinja259,1244332029,2024/12/20,47,2203,n,Hyperborean,North Star,,Top of Tree,"Snowball Cannon"
katzzluv,1231537070,2024/10/28,47,2203,n,Important,Purple Ringed,Playful Elephant,,"Witches Brew | RedBLOX | Basketball | Misfortune Cookie | Foam Finger | Haunted Pizza | Christmas Cookie | TOMATOES! | Item of Sentiment | Bacon Frying Pan | Red Pirate Juice | Pizza | Red Foam Finger | Magical Umbrella | Stop Hitting Yourself | Cymbals | Cake | A Very Special Monster | Fortune Telling Eight Ball | Protest Sign: Pro Fake Mustache | Halloween Sparkler | Cherry Pie | Marshmallow Chirp | Tambourine | Teddy Bloxpin | War Rocks | Throwing Spork | Roblox Snowglobe | Tennis Racket | Spray Paint | Wooden Sword | Jingle Bells | Nunchucks | Green Epicsauce | Ghost Bag | Bugle | Flute | Shuriken | Protest Sign: Noobs | Skeleton Foam Finger | Discus | Whoopee Cushion | Cursed Mummy Friend | Panda Friend"
allygalalmohamad,2472381257,2024/11/11,47,2203,n,,Vivid Stars,,,"Snowball | Panda Friend | Frying Pan | Apple Pie | Alpaca Plushie | Compass | The Christmas Creep | Eggshot | Egg Locater | Ink Launcher | Frosted Santa | Hedgehog Friend | Chocolate Milk | Saxophone | Yellow Snowball | Epicsauce | Director's Clapboard | Annoying Elf | Cake | Dragon Plushie | Sign: This Is Epic | Waffle | Space Sandwich | Bug Net | Ancient Firecracker | Watermelon | Tambourine | Protest Sign: Egg Hunt Nao | Chick Horde | Santa | Big Flower | Rolling Pin | Latke | Starfish Shuriken | Spray Paint | RedBLOX | Green Balloon | Ghost Bag | Police Badge | Speech Bubble | Slush Cannon | RoVacuum | Slurpee | Ceramic Potion | Whoopee Cushion | Foam Finger | Lightblox Jar | Witches Brew | Bloxilicious Bubble Gum | Basketball | Ice Cream | Bloxiade | Chocolate Bunny | Noob Pop | Protest Sign: Eggs are for eating | Cherry Pie | EPIC Stamper | Christmas Cookie | TOMATOES! | Chimp Friend | 8-Bit Ninja Stars | Metal Detector | Squid Launcher | Magical Umbrella | Red Pirate Juice | Eggstaff | Pizza | Red Foam Finger | Taco | AFK Sign | Hot Dog | Egg Hammer | Torch | Pirate Juice | Noob Hot Chocolate | Pest Hammer | Starblox Latte | Bloxxy Radar | Science Project: Potato | Hot Chocolate | Science Project: Volcano | Paint Grenade | Earth Horn | Fortune Telling Eight Ball | Bouquet of Pain Throwing Stars | Sparkler | Tom's Beans | Smore | Marshmallow Chirp | Frosty the Snowfriend | Teddy Bloxpin | Robo Companion | Roblox Snowglobe | Red Balloon | The Fiery Sun | Wooden Sword | Confetti Cannon | Shuriken | Green Epicsauce | Face Off Potion | Flute | Goblet | Blueberry Pie | Spinning Robot Helmet | Jingle Bells | BANG! | Neon Laser Launcher | Noise Maker"
carolGamex,208820046,2024/12/17,47,2203,n,Doctor,Purple Lightning Storm,,The Claw,"Protest Sign: Noobs | Bauble Detector"
KeiwiKiwi,639566512,2024/12/26,47,2203,n,Destined,,,,"Big Flower | Bauble Detector | Staff of the Woodlands"
BebooT2,2758489653,2024/12/14,47,2203,n,6th Seasoneer,Lightning Storm,Rudolph the Reindeer,Spaghettificate,"Pirate Hook | R-80 | Pest Hammer | Staff of the Woodlands"
geowiz29,2656316256,2024/08/25,47,2202,n,Cool,,Herbert T. Shark,,"Stop Hitting Yourself | Protest Sign: Noobs | Bloxiade"
REBI000ITA,2335772786,2024/09/23,47,2202,n,Epic,Steam Ring,,Ghost,"Stop Hitting Yourself | Drone | Pest Hammer | Staff of the Woodlands"
truongCR706,2686805181,2024/05/24,47,2202,n,Pro,Typical Games Logos,,Explode,""
CelestialGoddess123,528603339,2024/12/02,47,2202,n,INSOMNIAC,Heartbeat,UFO,Abduct,"Monster Mash | Metal Guitar"
NotMaxisRoblox,1821969687,2024/10/11,47,2202,y,Entitled,Golden Rays,Brilliant Crown,Ascend,"Soul Lantern | Torch | Pest Hammer"
lily45856,384382738,2024/12/15,47,2202,n,.,Ice Aura,,,""
Moonfanstar,3405090307,2024/10/20,47,2202,n,bearface,Vampiric Epic faces,Airborne Bear,The Claw,"Stop Hitting Yourself | Staff of the Woodlands | Soul Lantern | Victrola"
Tigerfurs,75050828,2024/11/09,47,2201,n,,,Rudolph the Reindeer,The Claw,"Chocolate Bunny | Squid Launcher | Selfie Stick | Sign: This Is NOT Epic | AFK Sign | Megagavel"
seulhya,544591018,2024/12/15,47,2201,n,Cute,Rainbow Sparkles,,Shatter,"Big Flower | Selfie Stick | Pest Hammer"
CiaoMels,2835022914,2024/07/02,47,2201,n,Fragrant,Easter Aura,Octavius the Octopus,Mined,"Snowman Gun | Alpaca Plushie | Annoying Elf | The Celebrator | Stop Hitting Yourself | Staff of the Woodlands"
xXBoliviacountryXx,1510077109,2024/10/20,47,2201,n,INSOMNIAC,Lightning Storm,Dazzling Heart,The Claw,"Stop Hitting Yourself | Chocolate Bunny | Cherry Pie | TOMATOES! | Shark Launcher | Big Flower | Rolling Pin | Otherworldly Sceptre | Ancient Firecracker | AFK Sign | Slush Cannon | Alpaca Plushie | Bighead Potion | Pest Hammer | Spray Paint | Soul Lantern | Dragonshead Cannon"
tatooine0,5333006533,2024/10/06,47,2200,n,skulls,Black flame,Korblox Bird,Skeletonize,"Epicsauce | Stop Hitting Yourself | Chicken Gun | Love Hurts Ray Gun | Shark Launcher | Metal Guitar | Soul Lantern | Paint Grenade"
BruddaEatBombs,1699011513,2024/04/26,47,2200,n,Diabolical,,,,""
FIoofPotato,313911198,2024/06/08,47,2200,n,.,,Bandleader Guinea Pig,Freeze,"Flower Feet | Laser Finger Pointers | Bloxxy Radar | Green Epicsauce | Pest Hammer | Chameleon Potion | Staff of the Woodlands"
N00bDeTerno,2599784667,2024/12/23,47,2200,n,.,Bauble Master,Little Penguin,The Claw,"Snowman Gun | Snowball Cannon"
juanfelipeviva,297319232,2025/01/13,47,2200,n,Myth,Steam Ring,Skeleton Cat,,"Snowball Cannon | Bauble Detector | Staff of the Woodlands"
Kittbahh,3049032615,2024/07/16,47,2200,n,,Conscience,Stick Friend,Zero Gravity Ragdoll,"Science Project: Potato | Metal Guitar | Speech Bubble | Otherworldly Sceptre | Green Epicsauce | Chameleon Potion | Red Balloon | Squid Launcher | Item of Sentiment | Pest Hammer | Science Project: Volcano"
8popeye8,1142261468,2024/11/22,47,2200,n,Vyrelord,Lich Aura,Dark Pegasus,Curse,"Meteor Staff | Shark Launcher | Otherworldly Sceptre | Pest Hammer | Dragonshead Cannon | Robo Companion | Metal Guitar | Green Epicsauce | Soul Lantern"
n_r0t,1118033871,2024/05/29,47,2200,y,:-),Love Aura,,Lovely Explosion,"Stop Hitting Yourself | Bloxilicious Bubble Gum | Fake C4 | Eggstaff | Foam Finger | Disguise Watch | Silly Guitar | Cherry Pie | Love Hurts Ray Gun | Tambourine | Bloxiade | Big Stick | Tiger Warrior Club | Metal Guitar | iLift Three | Goblet | Egg Locater | Drone | Game Studio Executive Briefcase | Bloxxy Radar | Starblox Latte | Protest Sign: Eggs are for eating | Misfortune Cookie | Protest Sign: Noobs | Torch | Pirate Juice | Bonk Bat | BANG! | Saxophone | Staff of the Woodlands"
mikaylakon,314252119,2024/10/17,47,2200,n,INSOMNIAC,Steam Ring,,Drop Stars,"Dragonshead Cannon | Fortune Telling Eight Ball | Disguise Watch | Bug Net | Slingshot | Megagavel | Stop Hitting Yourself | BANG! | Protest Sign: Noobs | Staff of the Woodlands"
alexchiew,1100657316,2024/11/19,47,2200,n,Legend,,,Avalanche,"Otherworldly Sceptre | Staff of the Woodlands"
raissa_123654,1239826288,2024/12/21,47,2199,n,,Cosmic Trail,,Drop Tokens,"Snowball Cannon | Bauble Detector | Yellow Snowball"
lazytoaster619,688540556,2024/08/09,47,2199,n,,,Duck,Disappear,"Epicsauce | Moonwalk Potion | Noise Maker | Stop Hitting Yourself | Item of Sentiment | BANG! | Staff of the Woodlands"
sickwithdread,4754507662,2024/09/14,47,2199,n,Vyrelord,,,Gravestone,"Haunted Pizza | Lollipop Cat | Boba Tea"
ra1ndr0psfa11,1582440201,2024/11/07,47,2199,n,,Dark Sprite,Crow,Terminate,"Fake C4 | Bugle | Red Stratobloxxer | Jingle Bells | Didgeridoo"
kathyisocool,198219177,2024/09/08,47,2199,n,Evil,Lightning Storm,Korblox Bird,Spaghettificate,"Otherworldly Sceptre | Beach Staff | Rainbow Fireworks"
kittycutebag13,1509374499,2024/12/15,47,2198,n,Demigod,,Penguin,Drop Stars,"Snowball Cannon | Bauble Detector | Fortune Telling Eight Ball | Disguise Watch | Beach Staff | Big Flower"
Henryzlx,948713816,2024/10/13,47,2198,n,,,,Disperse,"Stop Hitting Yourself | Ink Launcher | Megagavel | Metal Guitar | Laser Finger Pointers | Pest Hammer | Lucky Harp | Staff of the Woodlands"
dany_lb,1172653675,2024/10/12,47,2198,n,Cute,Cyan flame,Ninja Frog,Drop Stars,"Stop Hitting Yourself | Foam Finger | Hot Chocolate | Clown Bomb | Zombie Protest Sign | Saxophone | Marshmallow Chirp | Lightblox Jar | Skeleton Foam Finger | The Christmas Creep | Rolling Pin | Tom's Beans | Roblox Snowglobe | Selfie Stick | Face Off Potion | Red Foam Finger | Sparkler | R-80 | Flower Feet | Protest Sign: Noobs | Magical Umbrella | Pirate Juice | Pom-Poms | Spray Paint | Party Horn | Staff of the Woodlands"
LABU6HONA,4873189413,2024/07/10,47,2198,y,Kawaii,Floating Flower,Hampter,Lightning,"Otherworldly Sceptre | Pink Coconut Drink | Mega Mallet"
xXYGHOSTXx,172240048,2024/11/18,47,2198,y,Demigod,Target,Scorch the Ever Faithful,,"Meteor Staff | Halloween Sparkler | Starfish | Bonk Bat | Staff of the Woodlands"
xXYhimmyXx,3997514692,2024/09/13,47,2198,n,,Yellow sparkles,Epic Egg,The Claw,"Hedgehog Friend | Big Flower | Teddy Bloxpin"
9TAKASHI,3000431580,2024/12/17,47,2198,n,Pro,Sprinkling Snowflakes,Gingerbread Pal,The Claw,"Bloxilicious Bubble Gum | Protest Sign: Pro Fake Mustache | Misfortune Cookie | Snowball | Foam Finger | Haunted Pizza | Icicle Cannon | EPIC Stamper | Christmas Cookie | Shark Launcher | Snowball Cannon | Bauble Detector | Pizza | Yellow Card | Sparkler | Torch | Bacon Launcher | Pest Hammer | Saxophone | Staff of the Woodlands | Stop Hitting Yourself | Fortune Telling Eight Ball | Pumpkin Bucket | Epicsauce | Smore | Ceramic Potion | Goblet | Teddy Bloxpin | Slingshot | Protest Sign: Eggs are for eating | Roblox Snowglobe | Rolling Pin | Bloxxy Radar | Wooden Sword | Ultra-Flat Spray Paint | Pumpkin Gun | Face Off Potion | Hot Dog | Compass | Watermelon | Bloxiade | RoVacuum | Spinning Robot Helmet | Starblox Latte | BANG! | Chimp Friend | RAIG Table"
isunine,176268240,2024/07/10,47,2198,n,skulls,Green flame,Bald Eagle,Spaghettificate,"Throwing Barrel | Frosty the Snowfriend | Stop Hitting Yourself | Nunchucks | Starfish | Flower Feet | Epic Popper | Jingle Bells | Saxophone"
unicornetto_lov,1744869193,2024/09/14,47,2197,n,8th Seasoneer,Fairy Wings,Kenny the Koala,Flatten,"Witches Brew | Alpaca Plushie | Otherworldly Sceptre | Egg Hammer | Pest Hammer | R-80 | Tennis Racket | Big Flower | Face Off Potion | Teddy Bloxpin | Ticket Launcher"
Minatato456,335899061,2024/10/27,47,2197,y,>:(,,Paper Poltergeist,,"April Showers | Throwing Barrel | Otherworldly Sceptre | Pest Hammer | Pumpkin Gun | Silly Guitar | Metal Guitar | The Fiery Sun | Mega Mallet | Soul Lantern | Sea Sorcerer Staff"
xulshe,83611524,2024/12/28,47,2197,y,,,,,"Stop Hitting Yourself | Selfie Stick | R-80 | Staff of the Woodlands | Disguise Watch | Rainbow Fireworks | Ink Launcher | Christmas Cookie | Alpaca Plushie | Panda Friend | Saxophone | Big Flower"
r1nn_yy,999554188,2024/08/17,47,2197,n,Demigod,Black sparkles,,Spaghettificate,""
Chiterblok,682670212,2024/10/20,47,2197,n,10th Seasoneer,Rainbow Sparkles,Yellow Soul,Zero Gravity Ragdoll,"Magical Umbrella | Stop Hitting Yourself | Eggstaff | Killer Whale Launcher | Flower Feet | Halloween Sparkler | Ghost Potion | Staff of the Woodlands | Soul Lantern | Big Flower | Bighead Potion"
HEARTM3LTS,102833357,2024/07/26,47,2197,y,Nametag,Golden Rays,Tyrannosaurus,,"Laser Finger Pointers | Fake C4 | Waffle | Disguise Watch | Cherry Pie | Torch | Bonk Bat | Drone | Metal Guitar | Staff of the Woodlands"
509_ashli,3256037242,2024/09/06,47,2196,y,Nametag,,Threatening Goose,Shatter,""
cuteshimerstar,242490536,2024/10/24,47,2196,n,.,Crumpets,Bowbelle,Drop Stars,"Chicken Gun | Stop Hitting Yourself | Ham Bone | Whoopee Cushion | Misfortune Cookie | TOMATOES! | Pumpkin Gun | Boba Tea | Green Epicsauce | Soul Lantern | Magical Umbrella"
notkeara,461801921,2024/12/16,47,2196,y,Hacker,Bubbles,Cheerful Reindeer,Firecracker,"TypicalToype | Staff of Neverending Frost | Snowball Cannon | Bauble Detector"
iiD_bnja,1972496848,2024/06/08,47,2196,n,,,,Gravestone,"Police Badge | Crab Horde | Megagavel"
Leo282721,3499060842,2024/10/02,47,2196,n,,Corrupted Aura,Little Bunny,Ragdoll,"Dragonshead Cannon | Egg Locater | Shade Potion | Ink Launcher | Spider Flinger | Soul Lantern | Clown Bomb | Skeleton Foam Finger | Slushie | Pumpkin Gun"
StarsKeepMeAwake,2886041405,2024/12/29,47,2195,n,,Global Snowglobe,Kawaii Cat,Halrog of Prey,"Staff of Neverending Frost | Bauble Detector | Spell Book of Ice Cold Revenge | Science Project: Volcano | Snowball Cannon"
MiniRainbowPisi,1522117536,2024/12/18,47,2195,n,Cute,Aurora Borealis,Gingerbread Man,Helium Head,"Snowball Cannon | Bauble Detector | Otherworldly Sceptre | Snowman Gun"
CrashLess105,657594004,2024/12/26,47,2195,y,Boss,Crystalized,,Helium Head,"AFK Sign | Pumpkin Gun | Snowman Gun | The Celebrator | Snowball Cannon"
danivxi,2010842229,2025/01/05,47,2195,n,Cute,,Bat,Ragdoll,"Stop Hitting Yourself | Metal Guitar | Pizza | Big Flower | Soul Lantern | Pest Hammer | Spray Paint | Bauble Detector | Snowball Cannon"
Actuallynotforu,359482177,2024/07/02,47,2195,n,Worthless,,,Terminate,"Dragonshead Cannon | Frost Potion | Ultra-Flat Spray Paint | Otherworldly Sceptre | Chameleon Potion"
NekoShimono,2593320393,2024/06/03,47,2195,n,Demigod,Conscience,Orinthian Falcon,Ascend,""
bcbygrI,640628040,2025/01/08,47,2195,n,Loser,,Flying Devil,Terminate,"Otherworldly Sceptre"
Acrylic_exe,138202676,2025/01/04,47,2195,n,Special,Light Sprite,Spectral Spider,Drop Robux,"Big Flower | Epicsauce | Ham Bone | Frying Pan | Epic Popper | Necromancer Staff"
S0nicPLAY,3033812528,2024/10/11,47,2195,n,barcode,Blue flame,Scary Polar Bear,Ragdoll,"Witches Brew | RedBLOX | Cymbals | Cake | Fortune Telling Eight Ball | Bighead Potion | Stop Hitting Yourself | Goblet | Cherry Pie | Metal Guitar | Alpaca Plushie | Teddy Bloxpin | Shark Launcher | Foam Finger | Squid Launcher | Speech Bubble | Hedgehog Friend | Egg Locater | Green Epicsauce | Chimp Friend | Ancient Firecracker | Taco | Sign: This Is NOT Epic | R-80 | Protest Sign: Noobs | Hot Dog | Pizza | Noob Hot Chocolate | Whoopee Cushion | Saxophone | Panda Friend"
Killer_crossy,747550344,2025/01/13,47,2195,n,INSOMNIAC,The Red Strange,Twitter Bird,Burn,"Spider Flinger | Snowball Cannon | Egg Locater | Otherworldly Sceptre | Metal Detector | Pest Hammer | Pumpkin Gun | Dragon Plushie | Bauble Staff | Staff of Neverending Frost | Crab Horde | Flower Crossbow | Big Flower | Selfie Stick | Staff of the Woodlands | Christmas Tree Launcher | The Celebrator | Eggstaff | Vine Staff | Bauble Detector"
sin4Iove,501041331,2024/10/05,47,2194,n,.,Black flame,Penguin,Lovely Explosion,"Stop Hitting Yourself | Starfish | Teddy Bloxpin | Tennis Racket | Staff of the Woodlands | Ticket Launcher | Flower Feet | Big Flower | Noise Maker | Pest Hammer"
33pandora33,220151989,2025/01/08,47,2194,y,Stranger,Global Snowglobe,Yellow Tired Tortoise,The Claw,"Stop Hitting Yourself | Annoying Elf | Snowman Gun | Snowball Cannon | Bauble Detector | Hypnocannon | Chicken Gun | Pom-Poms | Pest Hammer"
pikels890,76831707,2024/05/28,47,2194,n,Atomic,Heartbeat,Scary Polar Bear,Separate,"Killer Whale Launcher | Silly Guitar | Cherry Pie | Alpaca Plushie | Marching Drum | Monster Mash | Saxophone | Slushie"
polloasadoHot,2453446398,2024/10/15,47,2194,n,NPC,Black flame,Mini Easter Bunny,Drop Robux,"Shark Launcher | Basketball | Giant Ninja Star | Neon Laser Launcher | Foam Finger | Robo Companion | Chicken Gun | Police Badge | Frying Pan | Noob Pop | Alpaca Plushie | Ghost Potion | Monster Mash | Pest Hammer | Bacon Frying Pan | Starblox Latte | Paint Grenade | Egg Locater | Saxophone | Otherworldly Sceptre | Ink Launcher | Chameleon Potion | Epicsauce | Ancient Firecracker | Bighead Potion | Hot Dog | Mega Mallet | Noob Hot Chocolate | Chocolate Milk | Slushie | Science Project: Volcano | Science Project: Potato | R-80 | Cymbals | Goblet | Earth Horn | Fortune Telling Eight Ball | Rolling Pin | Big Stick | Flower Crossbow | Ham Bone | Big Flower | Tambourine | Bloxiade | Tennis Racket | Chick Horde | Metal Guitar | Red Balloon | The Fiery Sun | Wooden Sword | Selfie Stick | Game Studio Executive Briefcase | Green Epicsauce | Cherry Pie | Killer Whale Launcher | Ticket Launcher | Shuriken | Egg Hammer | Taco | Chimp Friend | Squid Launcher | Ra'k Guitar | Frisbee"
alex_barbar24,1351318364,2024/11/23,47,2194,n,Untouchable,Red Anime Aura,,Drop Stars,"Metal Guitar | Basketball | Confetti Cannon | Icicle Cannon | Bighead Potion | Selfie Stick | Killer Whale Launcher | Pest Hammer | Slushie"
Zerhoold,4138350688,2024/12/25,47,2194,n,Snowflake,Global Snowglobe,Merry Snowflake,Top of Tree,"Annoying Elf | Otherworldly Sceptre | Snowball Cannon | Dragonshead Cannon | Snowman Gun | Chick Horde | Staff of Neverending Frost | Bauble Detector | iLift Three"
amineanis,468236480,2024/06/23,47,2194,n,Sk8r,Sprinkling Snowflakes,Epic Egg,Top of Tree,"Stop Hitting Yourself | Spray Paint | Rainbow Fireworks | Pom-Poms | Christmas Tree Launcher | Dragonshead Cannon | Otherworldly Sceptre | Green Epicsauce | Sparkler | Egg Hammer"
helloearthlings1239,1321709415,2024/11/26,47,2193,n,,,,Ascend,"Magical Umbrella"
d00perr,99156273,2024/12/22,47,2193,n,Festive,Festive Tree,Gingerbread Man,Top of Tree,"Christmas Cookie | Frosty the Snowfriend | Hot Chocolate | Santa | Christmas Tree Launcher | Snowball Cannon | Bauble Detector | Roblox Snowglobe | Snowball Launcher | The Christmas Creep"
Vitzlyn,1268506447,2024/11/03,47,2193,n,,,,Disappear,"Stop Hitting Yourself | Laser Finger Pointers | Drone | April Showers | Fortune Telling Eight Ball | Throwing Barrel | Magical Umbrella | Ultra-Flat Spray Paint | Staff of the Woodlands | Dragonshead Cannon | Metal Guitar"
lolaroganxx,93584388,2024/12/14,47,2193,n,Untouchable,Purple Lightning Storm,Scary Polar Bear,Ascend,"Cymbals | Red Stratobloxxer | Face Off Potion | Chameleon Potion | Flute | Pest Hammer | Basketball | Spray Paint"
lansi2121,570188552,2024/05/26,47,2193,n,,,,,""
XxBADCookie10xX,482393688,2024/10/26,47,2193,n,Odd,,,Drop Stars,"Epicsauce | Cymbals | Fortune Telling Eight Ball | Disguise Watch | Cherry Pie | Apple Pie | Tambourine | Big Flower | Egg Locater | R-80 | Chameleon Potion | Staff of the Woodlands | Protest Sign: Eggs are for eating | Squid Launcher | Exploding Heart | 8-Bit Staff | Green Epicsauce | Pest Hammer | Saxophone | Bloxxy Radar"
SuperFalkemand,143751797,2025/01/03,47,2193,n,Overseer,Watchful Aura,Overseer Eye,The Claw,"Chicken Gun | Otherworldly Sceptre | Pest Hammer | Dragonshead Cannon | Staff of Neverending Frost | Gravity Gun | Snowball Launcher | Caltrops"
AngelFlower1126,84677399,2024/06/03,47,2193,n,,,,,"Christmas Tree Launcher | Staff of the Woodlands | Halloween Sparkler"
